time,addr,txid,value
2020-08-26 22:02:36,"['3Q8wtBRWH37rUnb2wNn6uFvGuq98QYAQDu', '3ETb8pBTDQWHkakuAhUMSCDxmfFkSEAApP', '3BS1iuRtq6fHJWR5hA5a535kGf4JRwYW9k', '36Sd4cU4YsQpkMYJ6nrdzFHAFjQHRJRid2', '3PMTFUY47btxzcRhq5ERYTcSKxPTyufKkX', '3M7iFP52r1dqkw32DZ5dZXJXVoqATyNy3P']",30b4b70dcd9ca60fdbb6a68b9f11b2fbb44f9c4f646a65d41148735e52bf6a47,-15.00063327
2020-08-28 17:54:39,['bc1qgpl339pzf7h3ymzkln3zulhxyfrhad66qythgj'],ddb5eabff6215d0ce8e90d04eb95faf2f1989bf78800c6c1f7035af42bf582df,0.001
2020-08-28 18:55:07,['bc1qgpl339pzf7h3ymzkln3zulhxyfrhad66qythgj'],2bed5ee850561a869f8f5847fbaa5c9610f621263f536043392310bb29b953cf,6.37974158
2020-08-28 19:57:16,['bc1qgpl339pzf7h3ymzkln3zulhxyfrhad66qythgj'],3ea556ec823b59d2ce7ad764fd30f89edc1f6174f75e786683b82ed4b4f7a61e,-6.38074158
2020-08-31 13:13:08,['31ywnoPZgWcZ76QaCKixuMXkCywgAWrs1o'],9606f294e23c519c9281ccd14a06a1ede3be6f1be5f192d6953b86399c9c5017,80.4985283
2020-08-31 15:16:44,"['3GZmuQTPs9mBoGUKH97tiSfLZhdaWsyfg6', '32wmfDJYsYPmVyAXWpr65pB6omJJ1JUJpq', '31ywnoPZgWcZ76QaCKixuMXkCywgAWrs1o']",93ab935397dd5afe7284c94891a939540bd9bdbbfb047ee3c97007cfb0c39c98,-80.50021497
2020-09-02 18:07:35,['bc1qgpl339pzf7h3ymzkln3zulhxyfrhad66qythgj'],77df240b2891d8467a0ca21c6d6d9e4a94b15ef213e9e9830e5112f41c0a6b90,24.9998296
2020-09-02 18:12:14,['bc1qgpl339pzf7h3ymzkln3zulhxyfrhad66qythgj'],4adf484477366c14520e85f4a0a5a5c34f6a428e5199c240b5f02d09c01cc9f9,0.01
2020-09-02 18:12:14,['bc1qgpl339pzf7h3ymzkln3zulhxyfrhad66qythgj'],8af4239ef6ba9d7fb58d6a4a3fba14506b62bb1d49df84f74a19b2de958a9244,14.50960442
2020-09-02 18:12:14,"['36h3MqTkJPpygkJjGmcQRBEgC5t8Hn3rge', '3BD6gQqtpVYfeVaQfQWVKYdujeHCmuzayx']",8af4239ef6ba9d7fb58d6a4a3fba14506b62bb1d49df84f74a19b2de958a9244,-14.5098824
2020-09-02 18:12:14,"['3GZmuQTPs9mBoGUKH97tiSfLZhdaWsyfg6', '3BD6gQqtpVYfeVaQfQWVKYdujeHCmuzayx']",4adf484477366c14520e85f4a0a5a5c34f6a428e5199c240b5f02d09c01cc9f9,-0.01020418
